starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 26 09:40:16 2021	1627288816	190	136	326	79
Mon Jul 26 09:40:14 2021	1627288814	217	110	327	110
Mon Jul 26 09:40:18 2021	1627288818	232	96	328	83
Mon Jul 26 09:40:18 2021	1627288818	306	25	331	17
Mon Jul 26 09:40:15 2021	1627288815	242	89	331	79
Mon Jul 26 09:40:18 2021	1627288818	186	147	333	144
Mon Jul 26 09:40:15 2021	1627288815	222	112	334	89
Mon Jul 26 09:40:15 2021	1627288815	282	52	334	51
Mon Jul 26 09:40:16 2021	1627288816	182	153	335	30
Mon Jul 26 09:40:17 2021	1627288817	246	90	335	22
Mon Jul 26 09:40:15 2021	1627288815	286	50	336	41
Mon Jul 26 09:40:16 2021	1627288816	245	95	339	68
Mon Jul 26 09:40:16 2021	1627288816	249	93	342	58
Mon Jul 26 09:40:14 2021	1627288814	196	146	342	102
Mon Jul 26 09:40:17 2021	1627288817	168	175	343	67
Mon Jul 26 09:40:17 2021	1627288817	184	160	345	118
Mon Jul 26 09:40:17 2021	1627288817	173	175	347	67
Mon Jul 26 09:40:15 2021	1627288815	220	129	349	101
Mon Jul 26 09:40:15 2021	1627288815	233	117	351	110
Mon Jul 26 09:40:18 2021	1627288818	185	166	352	131
Mon Jul 26 09:40:14 2021	1627288814	275	78	353	35
Mon Jul 26 09:40:16 2021	1627288816	252	102	355	47
Mon Jul 26 09:40:17 2021	1627288817	249	106	355	94
Mon Jul 26 09:40:16 2021	1627288816	141	213	355	68
Mon Jul 26 09:40:16 2021	1627288816	220	136	356	124
Mon Jul 26 09:40:16 2021	1627288816	268	92	360	59
Mon Jul 26 09:40:15 2021	1627288815	155	205	360	90
Mon Jul 26 09:40:14 2021	1627288814	182	179	361	92
Mon Jul 26 09:40:16 2021	1627288816	271	93	364	59
Mon Jul 26 09:40:17 2021	1627288817	292	72	364	67
Mon Jul 26 09:40:15 2021	1627288815	210	154	364	7
Mon Jul 26 09:40:16 2021	1627288816	235	130	365	121
Mon Jul 26 09:40:16 2021	1627288816	272	93	365	58
Mon Jul 26 09:40:17 2021	1627288817	227	141	368	106
Mon Jul 26 09:40:16 2021	1627288816	246	123	369	120
Mon Jul 26 09:40:16 2021	1627288816	242	127	369	94
Mon Jul 26 09:40:17 2021	1627288817	297	72	369	67
Mon Jul 26 09:40:17 2021	1627288817	228	142	370	107
Mon Jul 26 09:40:16 2021	1627288816	294	75	370	69
Mon Jul 26 09:40:17 2021	1627288817	107	265	372	94
Mon Jul 26 09:40:17 2021	1627288817	197	175	372	67
Mon Jul 26 09:40:15 2021	1627288815	197	175	373	74
Mon Jul 26 09:40:15 2021	1627288815	211	162	373	122
Mon Jul 26 09:40:14 2021	1627288814	195	178	373	84
