starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 25 20:47:37 2021	1627271257	42	21	63	20
Sun Jul 25 20:47:39 2021	1627271259	45	23	68	23
Sun Jul 25 20:47:32 2021	1627271252	54	20	75	15
Sun Jul 25 20:47:37 2021	1627271257	63	15	78	10
Sun Jul 25 20:47:35 2021	1627271255	56	27	83	26
Sun Jul 25 20:47:33 2021	1627271253	61	29	90	25
Sun Jul 25 20:47:37 2021	1627271257	75	29	105	13
Sun Jul 25 20:47:31 2021	1627271251	63	42	105	41
Sun Jul 25 20:47:31 2021	1627271251	59	50	109	46
Sun Jul 25 20:47:33 2021	1627271253	93	25	117	24
Sun Jul 25 20:47:32 2021	1627271252	66	58	125	57
Sun Jul 25 20:47:34 2021	1627271254	115	10	125	9
Sun Jul 25 20:47:33 2021	1627271253	45	81	127	38
Sun Jul 25 20:47:37 2021	1627271257	108	21	128	7
Sun Jul 25 20:47:35 2021	1627271255	87	47	133	37
Sun Jul 25 20:47:39 2021	1627271259	99	36	135	29
Sun Jul 25 20:47:39 2021	1627271259	103	34	137	33
Sun Jul 25 20:47:29 2021	1627271249	84	57	141	57
Sun Jul 25 20:47:38 2021	1627271258	109	38	147	33
Sun Jul 25 20:47:35 2021	1627271255	119	32	151	31
Sun Jul 25 20:47:35 2021	1627271255	124	31	155	20
Sun Jul 25 20:47:38 2021	1627271258	140	27	167	22
Sun Jul 25 20:47:35 2021	1627271255	101	66	168	62
Sun Jul 25 20:47:33 2021	1627271253	115	54	168	49
Sun Jul 25 20:47:37 2021	1627271257	124	46	170	38
Sun Jul 25 20:47:36 2021	1627271256	128	42	170	40
Sun Jul 25 20:47:39 2021	1627271259	94	76	170	69
Sun Jul 25 20:47:36 2021	1627271256	104	68	172	68
Sun Jul 25 20:47:39 2021	1627271259	95	82	177	76
Sun Jul 25 20:47:31 2021	1627271251	120	58	178	52
Sun Jul 25 20:47:35 2021	1627271255	110	68	178	30
Sun Jul 25 20:47:34 2021	1627271254	118	62	180	61
Sun Jul 25 20:47:33 2021	1627271253	125	56	181	54
Sun Jul 25 20:47:36 2021	1627271256	137	44	181	40
Sun Jul 25 20:47:37 2021	1627271257	148	38	186	11
Sun Jul 25 20:47:39 2021	1627271259	97	94	191	78
Sun Jul 25 20:47:38 2021	1627271258	66	128	194	10
Sun Jul 25 20:47:38 2021	1627271258	111	92	203	52
Sun Jul 25 20:47:37 2021	1627271257	164	40	204	38
Sun Jul 25 20:47:38 2021	1627271258	185	25	211	24
Sun Jul 25 20:47:35 2021	1627271255	140	71	211	60
Sun Jul 25 20:47:39 2021	1627271259	73	141	214	136
Sun Jul 25 20:47:36 2021	1627271256	172	41	214	40
Sun Jul 25 20:47:39 2021	1627271259	162	53	216	24
Sun Jul 25 20:47:39 2021	1627271259	190	28	218	18
Sun Jul 25 20:47:38 2021	1627271258	154	72	226	58
Sun Jul 25 20:47:33 2021	1627271253	119	108	226	107
Sun Jul 25 20:47:38 2021	1627271258	149	78	227	78
