starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 25 20:48:07 2021	1627271287	9	10	19	4
Sun Jul 25 20:48:08 2021	1627271288	54	8	62	7
Sun Jul 25 20:48:08 2021	1627271288	61	33	94	32
Sun Jul 25 20:48:11 2021	1627271291	83	24	107	19
Sun Jul 25 20:48:12 2021	1627271292	85	24	109	24
Sun Jul 25 20:48:11 2021	1627271291	55	55	110	34
Sun Jul 25 20:48:14 2021	1627271294	83	28	111	19
Sun Jul 25 20:48:08 2021	1627271288	69	47	116	35
Sun Jul 25 20:48:12 2021	1627271292	88	30	118	30
Sun Jul 25 20:48:08 2021	1627271288	79	43	122	12
Sun Jul 25 20:48:11 2021	1627271291	90	40	131	15
Sun Jul 25 20:48:07 2021	1627271287	76	58	133	19
Sun Jul 25 20:48:07 2021	1627271287	79	58	137	19
Sun Jul 25 20:48:07 2021	1627271287	54	86	140	63
Sun Jul 25 20:48:12 2021	1627271292	114	28	143	28
Sun Jul 25 20:48:12 2021	1627271292	116	33	149	30
Sun Jul 25 20:48:08 2021	1627271288	131	22	154	9
Sun Jul 25 20:48:11 2021	1627271291	88	67	155	59
Sun Jul 25 20:48:12 2021	1627271292	117	44	161	33
Sun Jul 25 20:48:07 2021	1627271287	102	68	170	53
Sun Jul 25 20:48:07 2021	1627271287	70	105	174	88
Sun Jul 25 20:48:11 2021	1627271291	79	97	176	36
Sun Jul 25 20:48:07 2021	1627271287	127	57	184	47
Sun Jul 25 20:48:08 2021	1627271288	108	77	184	71
Sun Jul 25 20:48:11 2021	1627271291	121	66	186	55
Sun Jul 25 20:48:07 2021	1627271287	101	88	189	71
Sun Jul 25 20:48:14 2021	1627271294	117	72	190	72
Sun Jul 25 20:48:07 2021	1627271287	170	21	191	21
Sun Jul 25 20:48:08 2021	1627271288	103	89	191	59
Sun Jul 25 20:48:11 2021	1627271291	146	49	194	40
Sun Jul 25 20:48:16 2021	1627271296	139	57	196	47
Sun Jul 25 20:48:08 2021	1627271288	118	83	200	78
Sun Jul 25 20:48:13 2021	1627271293	178	23	201	19
Sun Jul 25 20:48:07 2021	1627271287	158	44	203	34
Sun Jul 25 20:48:14 2021	1627271294	91	112	203	48
Sun Jul 25 20:48:12 2021	1627271292	162	42	205	34
Sun Jul 25 20:48:07 2021	1627271287	161	44	205	9
Sun Jul 25 20:48:11 2021	1627271291	96	110	206	80
Sun Jul 25 20:48:11 2021	1627271291	166	41	207	17
Sun Jul 25 20:48:16 2021	1627271296	126	82	207	63
Sun Jul 25 20:48:07 2021	1627271287	162	46	208	40
Sun Jul 25 20:48:12 2021	1627271292	150	59	209	59
Sun Jul 25 20:48:08 2021	1627271288	173	39	212	38
Sun Jul 25 20:48:07 2021	1627271287	168	45	214	34
Sun Jul 25 20:48:08 2021	1627271288	129	86	215	44
Sun Jul 25 20:48:13 2021	1627271293	99	116	215	56
Sun Jul 25 20:48:11 2021	1627271291	121	94	216	93
Sun Jul 25 20:48:12 2021	1627271292	173	43	216	34
Sun Jul 25 20:48:13 2021	1627271293	129	89	218	84
Sun Jul 25 20:48:08 2021	1627271288	138	82	221	76
Sun Jul 25 20:48:11 2021	1627271291	162	58	221	48
Sun Jul 25 20:48:12 2021	1627271292	211	10	221	9
Sun Jul 25 20:48:08 2021	1627271288	138	83	222	21
