starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 25 21:20:20 2021	1627273220	10	85	95	85
Sun Jul 25 21:20:20 2021	1627273220	10	87	97	86
Sun Jul 25 21:20:20 2021	1627273220	10	90	100	90
Sun Jul 25 21:20:20 2021	1627273220	10	107	117	107
Sun Jul 25 21:20:20 2021	1627273220	10	109	119	109
Sun Jul 25 21:20:20 2021	1627273220	10	114	124	114
Sun Jul 25 21:20:20 2021	1627273220	10	119	129	119
Sun Jul 25 21:20:20 2021	1627273220	10	121	131	121
Sun Jul 25 21:20:20 2021	1627273220	10	124	134	124
Sun Jul 25 21:20:20 2021	1627273220	10	127	137	127
Sun Jul 25 21:20:20 2021	1627273220	10	136	146	136
Sun Jul 25 21:20:20 2021	1627273220	9	141	151	141
Sun Jul 25 21:20:20 2021	1627273220	9	147	157	147
Sun Jul 25 21:20:20 2021	1627273220	9	153	162	153
Sun Jul 25 21:20:20 2021	1627273220	9	156	165	156
Sun Jul 25 21:20:20 2021	1627273220	7	159	166	159
Sun Jul 25 21:20:20 2021	1627273220	9	165	174	165
Sun Jul 25 21:20:20 2021	1627273220	7	171	178	171
Sun Jul 25 21:20:37 2021	1627273237	0	179	179	178
Sun Jul 25 21:20:37 2021	1627273237	0	179	179	179
Sun Jul 25 21:20:37 2021	1627273237	0	179	179	179
Sun Jul 25 21:20:37 2021	1627273237	0	179	179	179
Sun Jul 25 21:20:37 2021	1627273237	0	179	179	179
Sun Jul 25 21:20:37 2021	1627273237	0	179	179	179
Sun Jul 25 21:20:37 2021	1627273237	1	179	180	179
Sun Jul 25 21:20:37 2021	1627273237	1	179	180	179
Sun Jul 25 21:20:37 2021	1627273237	0	180	180	180
Sun Jul 25 21:20:37 2021	1627273237	0	180	180	180
Sun Jul 25 21:20:37 2021	1627273237	0	181	181	180
Sun Jul 25 21:20:37 2021	1627273237	0	181	181	180
Sun Jul 25 21:20:28 2021	1627273228	0	181	181	181
Sun Jul 25 21:20:37 2021	1627273237	0	181	181	181
Sun Jul 25 21:20:37 2021	1627273237	0	181	181	181
Sun Jul 25 21:20:28 2021	1627273228	0	181	181	181
Sun Jul 25 21:20:37 2021	1627273237	0	181	181	181
Sun Jul 25 21:20:28 2021	1627273228	0	181	181	181
Sun Jul 25 21:20:28 2021	1627273228	0	181	181	181
Sun Jul 25 21:20:28 2021	1627273228	0	181	181	181
Sun Jul 25 21:20:37 2021	1627273237	0	181	182	181
Sun Jul 25 21:20:28 2021	1627273228	0	181	182	181
Sun Jul 25 21:20:28 2021	1627273228	0	181	182	181
Sun Jul 25 21:20:28 2021	1627273228	0	182	182	181
Sun Jul 25 21:20:28 2021	1627273228	0	182	182	182
Sun Jul 25 21:20:28 2021	1627273228	0	182	182	181
Sun Jul 25 21:20:37 2021	1627273237	0	182	182	182
Sun Jul 25 21:20:37 2021	1627273237	0	182	182	182
Sun Jul 25 21:20:37 2021	1627273237	0	182	183	182
Sun Jul 25 21:20:37 2021	1627273237	0	182	183	182
Sun Jul 25 21:20:28 2021	1627273228	0	183	183	183
Sun Jul 25 21:20:28 2021	1627273228	0	183	184	183
Sun Jul 25 21:20:20 2021	1627273220	9	175	184	175
Sun Jul 25 21:20:28 2021	1627273228	0	184	184	184
Sun Jul 25 21:20:28 2021	1627273228	0	184	184	184
Sun Jul 25 21:20:28 2021	1627273228	0	184	184	184
Sun Jul 25 21:20:28 2021	1627273228	0	184	184	184
Sun Jul 25 21:20:28 2021	1627273228	0	184	184	184
Sun Jul 25 21:20:20 2021	1627273220	7	178	185	178
Sun Jul 25 21:20:27 2021	1627273227	0	184	185	184
Sun Jul 25 21:20:27 2021	1627273227	0	185	185	184
Sun Jul 25 21:20:27 2021	1627273227	0	185	185	185
Sun Jul 25 21:20:27 2021	1627273227	0	185	185	185
Sun Jul 25 21:20:28 2021	1627273228	0	185	185	184
Sun Jul 25 21:20:27 2021	1627273227	0	185	185	184
Sun Jul 25 21:20:37 2021	1627273237	0	185	185	185
Sun Jul 25 21:20:37 2021	1627273237	0	185	185	185
Sun Jul 25 21:20:37 2021	1627273237	0	185	185	185
Sun Jul 25 21:20:37 2021	1627273237	0	185	185	185
Sun Jul 25 21:20:37 2021	1627273237	0	185	185	185
Sun Jul 25 21:20:27 2021	1627273227	0	186	186	185
Sun Jul 25 21:20:27 2021	1627273227	0	186	186	185
Sun Jul 25 21:20:37 2021	1627273237	0	186	186	185
Sun Jul 25 21:20:27 2021	1627273227	0	186	186	186
Sun Jul 25 21:20:37 2021	1627273237	0	186	186	185
Sun Jul 25 21:20:37 2021	1627273237	0	186	186	186
Sun Jul 25 21:20:28 2021	1627273228	0	186	186	186
Sun Jul 25 21:20:27 2021	1627273227	0	186	186	186
Sun Jul 25 21:20:27 2021	1627273227	0	186	186	186
Sun Jul 25 21:20:27 2021	1627273227	0	186	186	186
Sun Jul 25 21:20:28 2021	1627273228	0	186	186	186
Sun Jul 25 21:20:37 2021	1627273237	0	186	186	186
Sun Jul 25 21:20:37 2021	1627273237	0	186	186	186
Sun Jul 25 21:20:28 2021	1627273228	0	186	186	186
Sun Jul 25 21:20:28 2021	1627273228	0	186	187	186
Sun Jul 25 21:20:28 2021	1627273228	0	186	187	186
Sun Jul 25 21:20:37 2021	1627273237	0	186	187	186
Sun Jul 25 21:20:27 2021	1627273227	0	187	187	187
Sun Jul 25 21:20:37 2021	1627273237	0	187	187	186
Sun Jul 25 21:20:27 2021	1627273227	0	187	187	187
Sun Jul 25 21:20:27 2021	1627273227	0	187	187	187
Sun Jul 25 21:20:27 2021	1627273227	0	187	187	187
Sun Jul 25 21:20:37 2021	1627273237	0	187	187	187
Sun Jul 25 21:20:27 2021	1627273227	0	187	187	187
Sun Jul 25 21:20:27 2021	1627273227	0	187	187	187
Sun Jul 25 21:20:27 2021	1627273227	0	187	187	187
Sun Jul 25 21:20:27 2021	1627273227	0	187	187	187
Sun Jul 25 21:20:47 2021	1627273247	0	187	187	187
Sun Jul 25 21:20:20 2021	1627273220	7	180	187	180
Sun Jul 25 21:20:28 2021	1627273228	0	187	187	187
Sun Jul 25 21:20:27 2021	1627273227	0	187	187	187
Sun Jul 25 21:20:27 2021	1627273227	0	187	188	187
Sun Jul 25 21:20:27 2021	1627273227	0	188	188	187
Sun Jul 25 21:20:37 2021	1627273237	0	187	188	187
Sun Jul 25 21:20:27 2021	1627273227	0	187	188	187
Sun Jul 25 21:20:27 2021	1627273227	0	188	188	188
Sun Jul 25 21:20:37 2021	1627273237	1	187	188	187
Sun Jul 25 21:20:37 2021	1627273237	0	187	188	187
Sun Jul 25 21:20:27 2021	1627273227	0	188	188	188
Sun Jul 25 21:20:37 2021	1627273237	0	188	188	188
Sun Jul 25 21:20:27 2021	1627273227	0	188	188	188
Sun Jul 25 21:20:27 2021	1627273227	0	188	188	188
Sun Jul 25 21:20:27 2021	1627273227	0	188	188	188
Sun Jul 25 21:20:27 2021	1627273227	0	188	188	188
Sun Jul 25 21:20:37 2021	1627273237	0	188	188	188
Sun Jul 25 21:20:27 2021	1627273227	0	188	188	188
Sun Jul 25 21:20:27 2021	1627273227	0	188	188	188
Sun Jul 25 21:20:27 2021	1627273227	0	188	188	188
Sun Jul 25 21:20:27 2021	1627273227	0	188	188	188
Sun Jul 25 21:20:27 2021	1627273227	0	188	189	188
Sun Jul 25 21:20:27 2021	1627273227	0	188	189	188
Sun Jul 25 21:20:37 2021	1627273237	0	189	189	189
Sun Jul 25 21:20:27 2021	1627273227	0	189	189	188
Sun Jul 25 21:20:37 2021	1627273237	0	189	189	189
Sun Jul 25 21:20:37 2021	1627273237	0	189	189	189
Sun Jul 25 21:20:27 2021	1627273227	0	189	189	189
Sun Jul 25 21:20:37 2021	1627273237	0	189	189	189
