starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 25 21:05:37 2021	1627272337	40	5	45	4
Sun Jul 25 21:03:44 2021	1627272224	7	72	78	2
Sun Jul 25 21:04:45 2021	1627272285	102	24	127	16
Sun Jul 25 21:05:31 2021	1627272331	122	16	139	16
Sun Jul 25 21:05:33 2021	1627272333	147	4	151	3
Sun Jul 25 21:05:31 2021	1627272331	110	50	160	42
Sun Jul 25 21:05:31 2021	1627272331	140	20	160	20
Sun Jul 25 21:05:37 2021	1627272337	159	47	206	40
Sun Jul 25 21:05:37 2021	1627272337	208	10	219	10
Sun Jul 25 21:04:46 2021	1627272286	139	82	221	66
Sun Jul 25 21:04:45 2021	1627272285	110	112	222	107
Sun Jul 25 21:04:46 2021	1627272286	151	75	225	74
Sun Jul 25 21:04:45 2021	1627272285	55	172	227	158
Sun Jul 25 21:04:53 2021	1627272293	136	96	231	52
Sun Jul 25 21:04:44 2021	1627272284	212	52	264	35
Sun Jul 25 21:05:31 2021	1627272331	170	111	281	108
Sun Jul 25 21:05:37 2021	1627272337	225	57	282	37
Sun Jul 25 21:04:45 2021	1627272285	179	112	291	106
Sun Jul 25 21:04:50 2021	1627272290	250	46	295	39
Sun Jul 25 21:04:45 2021	1627272285	151	171	322	160
Sun Jul 25 21:04:53 2021	1627272293	188	147	335	146
Sun Jul 25 21:05:32 2021	1627272332	96	259	355	141
Sun Jul 25 21:05:33 2021	1627272333	317	41	358	39
Sun Jul 25 21:05:36 2021	1627272336	292	70	361	48
Sun Jul 25 21:04:53 2021	1627272293	234	131	365	130
Sun Jul 25 21:04:45 2021	1627272285	187	179	366	92
Sun Jul 25 21:04:53 2021	1627272293	271	97	368	52
Sun Jul 25 21:05:41 2021	1627272341	279	96	374	94
Sun Jul 25 21:04:45 2021	1627272285	365	17	382	8
Sun Jul 25 21:04:44 2021	1627272284	333	53	387	36
Sun Jul 25 21:05:36 2021	1627272336	339	55	394	55
Sun Jul 25 21:04:45 2021	1627272285	134	266	401	164
Sun Jul 25 21:05:32 2021	1627272332	321	81	402	66
Sun Jul 25 21:04:50 2021	1627272290	356	49	405	39
Sun Jul 25 21:05:36 2021	1627272336	302	104	406	83
Sun Jul 25 21:05:03 2021	1627272303	385	23	408	21
Sun Jul 25 21:04:52 2021	1627272292	279	131	410	130
Sun Jul 25 21:05:33 2021	1627272333	373	39	412	38
Sun Jul 25 21:04:44 2021	1627272284	382	59	441	57
Sun Jul 25 21:04:44 2021	1627272284	352	91	443	81
Sun Jul 25 21:04:45 2021	1627272285	416	29	445	26
Sun Jul 25 21:05:30 2021	1627272330	348	99	447	86
Sun Jul 25 21:05:37 2021	1627272337	181	267	448	168
Sun Jul 25 21:04:45 2021	1627272285	274	182	457	99
Sun Jul 25 21:04:52 2021	1627272292	308	177	485	169
Sun Jul 25 21:05:37 2021	1627272337	207	281	488	151
Sun Jul 25 21:05:03 2021	1627272303	235	257	492	160
Sun Jul 25 21:05:41 2021	1627272341	203	295	498	131
Sun Jul 25 21:04:45 2021	1627272285	434	76	510	73
Sun Jul 25 21:05:03 2021	1627272303	320	197	517	170
Sun Jul 25 21:05:39 2021	1627272339	316	226	541	115
Sun Jul 25 21:05:03 2021	1627272303	293	254	547	237
Sun Jul 25 21:04:44 2021	1627272284	490	58	548	57
Sun Jul 25 21:04:44 2021	1627272284	520	34	554	25
Sun Jul 25 21:05:37 2021	1627272337	279	277	556	147
Sun Jul 25 21:04:52 2021	1627272292	513	45	558	31
Sun Jul 25 21:05:31 2021	1627272331	479	81	560	66
Sun Jul 25 21:05:30 2021	1627272330	181	380	561	32
Sun Jul 25 21:05:36 2021	1627272336	505	56	561	55
Sun Jul 25 21:05:03 2021	1627272303	398	169	567	166
Sun Jul 25 21:05:36 2021	1627272336	444	126	570	115
Sun Jul 25 21:04:44 2021	1627272284	172	401	573	385
Sun Jul 25 21:05:03 2021	1627272303	378	196	575	131
Sun Jul 25 21:05:33 2021	1627272333	561	16	576	4
Sun Jul 25 21:05:41 2021	1627272341	523	64	587	42
Sun Jul 25 21:05:37 2021	1627272337	296	300	596	130
Sun Jul 25 21:04:45 2021	1627272285	278	318	596	235
Sun Jul 25 21:05:40 2021	1627272340	257	356	613	86
Sun Jul 25 21:05:03 2021	1627272303	364	252	616	241
Sun Jul 25 21:05:32 2021	1627272332	552	64	616	51
Sun Jul 25 21:04:44 2021	1627272284	485	134	619	129
Sun Jul 25 21:05:03 2021	1627272303	432	188	620	181
Sun Jul 25 21:05:36 2021	1627272336	366	258	624	250
Sun Jul 25 21:05:30 2021	1627272330	539	98	637	86
Sun Jul 25 21:05:33 2021	1627272333	515	134	650	130
Sun Jul 25 21:04:45 2021	1627272285	342	311	653	194
Sun Jul 25 21:05:02 2021	1627272302	335	326	660	133
Sun Jul 25 21:05:41 2021	1627272341	613	49	662	43
Sun Jul 25 21:05:32 2021	1627272332	610	55	664	33
Sun Jul 25 21:04:52 2021	1627272292	215	452	667	384
Sun Jul 25 21:05:35 2021	1627272335	569	104	673	88
Sun Jul 25 21:05:40 2021	1627272340	426	258	684	176
Sun Jul 25 21:05:36 2021	1627272336	400	285	685	88
Sun Jul 25 21:05:53 2021	1627272353	634	53	687	35
Sun Jul 25 21:05:36 2021	1627272336	372	318	690	236
Sun Jul 25 21:05:30 2021	1627272330	580	110	690	99
Sun Jul 25 21:04:52 2021	1627272292	493	204	697	191
Sun Jul 25 21:04:46 2021	1627272286	491	206	697	136
Sun Jul 25 21:05:02 2021	1627272302	368	337	705	178
Sun Jul 25 21:05:30 2021	1627272330	252	460	712	156
Sun Jul 25 21:04:43 2021	1627272283	496	221	717	21
Sun Jul 25 21:05:53 2021	1627272353	621	98	719	32
Sun Jul 25 21:05:03 2021	1627272303	511	210	721	184
Sun Jul 25 21:04:54 2021	1627272294	331	396	727	234
Sun Jul 25 21:04:50 2021	1627272290	560	167	727	100
Sun Jul 25 21:04:46 2021	1627272286	305	424	729	189
Sun Jul 25 21:05:04 2021	1627272304	456	274	730	269
Sun Jul 25 21:04:46 2021	1627272286	446	289	735	218
Sun Jul 25 21:04:52 2021	1627272292	533	203	736	185
Sun Jul 25 21:05:01 2021	1627272301	399	338	737	177
Sun Jul 25 21:04:54 2021	1627272294	499	239	738	142
Sun Jul 25 21:04:46 2021	1627272286	549	190	739	135
Sun Jul 25 21:05:40 2021	1627272340	492	258	750	176
Sun Jul 25 21:05:46 2021	1627272346	574	181	755	74
Sun Jul 25 21:04:50 2021	1627272290	594	169	763	142
Sun Jul 25 21:05:35 2021	1627272335	533	234	767	105
Sun Jul 25 21:04:52 2021	1627272292	268	499	768	250
Sun Jul 25 21:05:03 2021	1627272303	562	208	770	179
Sun Jul 25 21:04:52 2021	1627272292	544	228	773	206
Sun Jul 25 21:05:36 2021	1627272336	410	374	784	293
Sun Jul 25 21:05:30 2021	1627272330	358	432	790	290
Sun Jul 25 21:05:30 2021	1627272330	661	135	796	131
Sun Jul 25 21:04:43 2021	1627272283	715	84	800	82
Sun Jul 25 21:05:40 2021	1627272340	411	389	800	117
Sun Jul 25 21:05:40 2021	1627272340	535	271	806	147
