starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 25 20:46:57 2021	1627271217	5	14	19	14
Sun Jul 25 20:46:57 2021	1627271217	5	18	23	18
Sun Jul 25 20:46:57 2021	1627271217	0	71	72	66
Sun Jul 25 20:46:57 2021	1627271217	5	67	72	67
Sun Jul 25 20:46:57 2021	1627271217	5	72	77	72
Sun Jul 25 20:46:57 2021	1627271217	5	75	80	75
Sun Jul 25 20:46:57 2021	1627271217	5	77	81	77
Sun Jul 25 20:46:57 2021	1627271217	5	80	84	80
Sun Jul 25 20:46:57 2021	1627271217	5	100	105	100
Sun Jul 25 20:46:57 2021	1627271217	5	103	107	103
Sun Jul 25 20:46:57 2021	1627271217	4	105	110	105
Sun Jul 25 20:46:57 2021	1627271217	4	108	112	108
Sun Jul 25 20:46:57 2021	1627271217	4	124	128	124
Sun Jul 25 20:46:57 2021	1627271217	4	130	134	130
Sun Jul 25 20:46:57 2021	1627271217	4	133	137	133
Sun Jul 25 20:46:57 2021	1627271217	4	135	139	134
Sun Jul 25 20:46:57 2021	1627271217	4	137	141	137
Sun Jul 25 20:46:57 2021	1627271217	4	140	144	140
Sun Jul 25 20:46:57 2021	1627271217	4	146	150	146
Sun Jul 25 20:46:57 2021	1627271217	4	146	150	146
Sun Jul 25 20:46:57 2021	1627271217	4	151	155	151
Sun Jul 25 20:46:57 2021	1627271217	4	152	156	152
Sun Jul 25 20:46:57 2021	1627271217	4	155	158	155
Sun Jul 25 20:46:57 2021	1627271217	4	157	161	157
Sun Jul 25 20:46:57 2021	1627271217	4	160	164	160
Sun Jul 25 20:46:57 2021	1627271217	4	164	168	164
Sun Jul 25 20:46:57 2021	1627271217	4	164	168	164
Sun Jul 25 20:46:57 2021	1627271217	3	168	172	168
Sun Jul 25 20:46:57 2021	1627271217	3	168	172	168
Sun Jul 25 20:46:57 2021	1627271217	3	174	178	174
Sun Jul 25 20:46:57 2021	1627271217	3	175	178	175
Sun Jul 25 20:46:57 2021	1627271217	3	182	185	182
Sun Jul 25 20:46:57 2021	1627271217	3	182	185	182
Sun Jul 25 20:46:57 2021	1627271217	3	186	189	186
Sun Jul 25 20:46:57 2021	1627271217	3	186	189	186
Sun Jul 25 20:46:57 2021	1627271217	3	192	195	192
Sun Jul 25 20:46:57 2021	1627271217	3	192	195	192
Sun Jul 25 20:46:57 2021	1627271217	3	198	201	198
