starttime	seconds	ctime	dtime	ttime	wait
Sun Jul 25 21:06:37 2021	1627272397	6	64	70	3
Sun Jul 25 21:08:08 2021	1627272488	73	6	79	4
Sun Jul 25 21:08:13 2021	1627272493	76	24	100	23
Sun Jul 25 21:08:13 2021	1627272493	75	29	105	21
Sun Jul 25 21:08:08 2021	1627272488	106	12	119	12
Sun Jul 25 21:07:53 2021	1627272473	79	52	131	35
Sun Jul 25 21:08:12 2021	1627272492	128	5	133	4
Sun Jul 25 21:08:12 2021	1627272492	107	34	141	33
Sun Jul 25 21:07:41 2021	1627272461	130	24	154	23
Sun Jul 25 21:08:05 2021	1627272485	124	31	156	26
Sun Jul 25 21:07:41 2021	1627272461	92	67	160	67
Sun Jul 25 21:07:41 2021	1627272461	156	7	163	6
Sun Jul 25 21:08:17 2021	1627272497	85	83	168	79
Sun Jul 25 21:08:08 2021	1627272488	148	22	170	16
Sun Jul 25 21:06:58 2021	1627272418	156	17	173	17
Sun Jul 25 21:07:41 2021	1627272461	138	39	177	39
Sun Jul 25 21:07:53 2021	1627272473	156	25	181	24
Sun Jul 25 21:08:05 2021	1627272485	77	114	191	98
Sun Jul 25 21:07:53 2021	1627272473	106	88	194	87
Sun Jul 25 21:07:41 2021	1627272461	103	93	197	86
Sun Jul 25 21:08:05 2021	1627272485	169	31	199	28
Sun Jul 25 21:06:58 2021	1627272418	156	48	203	12
Sun Jul 25 21:08:16 2021	1627272496	104	110	215	110
Sun Jul 25 21:06:58 2021	1627272418	171	50	221	44
Sun Jul 25 21:08:37 2021	1627272517	143	79	222	39
Sun Jul 25 21:08:12 2021	1627272492	129	94	223	90
Sun Jul 25 21:07:42 2021	1627272462	161	68	229	65
Sun Jul 25 21:08:18 2021	1627272498	84	148	233	131
Sun Jul 25 21:08:37 2021	1627272517	152	83	235	56
Sun Jul 25 21:08:08 2021	1627272488	203	39	243	27
Sun Jul 25 21:08:16 2021	1627272496	237	6	243	5
Sun Jul 25 21:07:40 2021	1627272460	228	16	244	10
Sun Jul 25 21:08:17 2021	1627272497	164	82	247	79
Sun Jul 25 21:08:16 2021	1627272496	147	101	248	94
Sun Jul 25 21:08:16 2021	1627272496	154	98	252	33
Sun Jul 25 21:07:53 2021	1627272473	201	53	254	25
Sun Jul 25 21:07:54 2021	1627272474	195	59	254	46
Sun Jul 25 21:07:54 2021	1627272474	91	167	258	60
Sun Jul 25 21:08:08 2021	1627272488	223	36	259	31
Sun Jul 25 21:08:16 2021	1627272496	164	99	264	94
Sun Jul 25 21:07:41 2021	1627272461	202	62	264	58
Sun Jul 25 21:07:53 2021	1627272473	116	149	266	144
Sun Jul 25 21:07:54 2021	1627272474	177	89	266	82
Sun Jul 25 21:08:18 2021	1627272498	159	109	267	60
Sun Jul 25 21:07:54 2021	1627272474	219	50	269	43
Sun Jul 25 21:08:37 2021	1627272517	204	68	272	32
Sun Jul 25 21:08:37 2021	1627272517	188	88	276	47
Sun Jul 25 21:08:12 2021	1627272492	183	95	278	90
Sun Jul 25 21:07:53 2021	1627272473	239	46	285	46
Sun Jul 25 21:07:41 2021	1627272461	183	103	286	96
Sun Jul 25 21:06:58 2021	1627272418	132	162	294	85
Sun Jul 25 21:07:42 2021	1627272462	130	167	298	155
Sun Jul 25 21:08:08 2021	1627272488	163	139	302	132
Sun Jul 25 21:07:41 2021	1627272461	176	128	304	109
Sun Jul 25 21:08:37 2021	1627272517	221	86	307	47
Sun Jul 25 21:07:42 2021	1627272462	215	97	312	82
Sun Jul 25 21:08:08 2021	1627272488	169	143	313	108
Sun Jul 25 21:08:12 2021	1627272492	174	140	315	140
Sun Jul 25 21:07:51 2021	1627272471	295	22	318	6
Sun Jul 25 21:07:52 2021	1627272472	127	195	322	95
Sun Jul 25 21:08:37 2021	1627272517	242	85	327	85
Sun Jul 25 21:07:53 2021	1627272473	234	94	328	69
Sun Jul 25 21:08:06 2021	1627272486	167	164	331	99
Sun Jul 25 21:07:53 2021	1627272473	286	47	334	46
Sun Jul 25 21:08:07 2021	1627272487	288	49	336	20
Sun Jul 25 21:08:37 2021	1627272517	257	82	338	70
Sun Jul 25 21:08:08 2021	1627272488	314	31	346	28
Sun Jul 25 21:08:02 2021	1627272482	136	215	351	102
Sun Jul 25 21:08:37 2021	1627272517	156	197	353	163
Sun Jul 25 21:08:09 2021	1627272489	282	70	353	62
Sun Jul 25 21:07:52 2021	1627272472	243	116	359	115
Sun Jul 25 21:07:51 2021	1627272471	334	26	360	26
Sun Jul 25 21:07:51 2021	1627272471	229	131	360	62
Sun Jul 25 21:07:53 2021	1627272473	192	169	361	60
Sun Jul 25 21:08:08 2021	1627272488	134	228	362	192
Sun Jul 25 21:07:53 2021	1627272473	288	76	364	51
Sun Jul 25 21:07:51 2021	1627272471	326	40	367	37
Sun Jul 25 21:07:07 2021	1627272427	311	61	372	29
Sun Jul 25 21:08:07 2021	1627272487	344	35	378	31
Sun Jul 25 21:07:39 2021	1627272459	358	20	379	11
Sun Jul 25 21:08:08 2021	1627272488	284	97	381	26
Sun Jul 25 21:07:53 2021	1627272473	76	306	382	188
Sun Jul 25 21:08:07 2021	1627272487	353	34	387	31
Sun Jul 25 21:07:08 2021	1627272428	245	143	389	137
Sun Jul 25 21:07:39 2021	1627272459	261	128	389	50
Sun Jul 25 21:08:37 2021	1627272517	300	92	391	80
Sun Jul 25 21:07:51 2021	1627272471	353	50	403	18
Sun Jul 25 21:08:13 2021	1627272493	253	153	406	72
Sun Jul 25 21:07:41 2021	1627272461	303	104	407	96
Sun Jul 25 21:08:08 2021	1627272488	274	141	414	45
Sun Jul 25 21:08:07 2021	1627272487	250	173	423	166
Sun Jul 25 21:07:51 2021	1627272471	384	39	423	32
Sun Jul 25 21:08:13 2021	1627272493	176	248	424	239
Sun Jul 25 21:07:39 2021	1627272459	200	224	424	89
Sun Jul 25 21:08:16 2021	1627272496	233	192	424	62
Sun Jul 25 21:07:46 2021	1627272466	346	79	425	58
Sun Jul 25 21:08:12 2021	1627272492	333	94	427	94
Sun Jul 25 21:07:45 2021	1627272465	242	185	427	93
Sun Jul 25 21:07:51 2021	1627272471	400	28	428	26
Sun Jul 25 21:07:46 2021	1627272466	369	59	428	59
Sun Jul 25 21:08:08 2021	1627272488	398	30	429	28
Sun Jul 25 21:08:28 2021	1627272508	405	24	429	21
Sun Jul 25 21:07:45 2021	1627272465	362	70	433	69
Sun Jul 25 21:07:52 2021	1627272472	354	80	434	50
Sun Jul 25 21:08:09 2021	1627272489	163	273	436	173
Sun Jul 25 21:08:15 2021	1627272495	285	155	440	121
Sun Jul 25 21:07:51 2021	1627272471	214	228	442	183
Sun Jul 25 21:07:51 2021	1627272471	396	51	447	18
Sun Jul 25 21:07:45 2021	1627272465	161	288	449	47
Sun Jul 25 21:07:51 2021	1627272471	357	93	450	25
Sun Jul 25 21:06:57 2021	1627272417	280	174	454	161
Sun Jul 25 21:08:17 2021	1627272497	303	152	455	141
Sun Jul 25 21:08:17 2021	1627272497	307	150	456	138
Sun Jul 25 21:08:07 2021	1627272487	428	38	465	33
Sun Jul 25 21:07:46 2021	1627272466	304	165	470	155
Sun Jul 25 21:08:37 2021	1627272517	379	91	470	80
Sun Jul 25 21:07:52 2021	1627272472	335	140	475	117
Sun Jul 25 21:08:12 2021	1627272492	383	97	480	93
